store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
1,A,1,05/02/2018,24924.5,FALSE,5.727777778,0.679450839,8.106
1,C,1,05/03/2018,21827.9,FALSE,8.055555556,0.693451964,8.106
1,A,1,02/04/2018,57258.43,FALSE,16.81666667,0.718284149,7.808
1,A,1,07/05/2018,17413.94,FALSE,22.52777778,0.748928121,7.808
1,A,1,04/06/2018,17558.09,FALSE,27.05,0.714585738,7.808
1,A,1,02/07/2018,16333.14,FALSE,27.17222222,0.70507554,7.787
1,A,1,06/08/2018,17508.41,FALSE,30.64444444,0.693980309,7.787
1,C,1,03/09/2018,16241.78,FALSE,27.33888889,0.6807717,7.787
1,A,1,01/10/2018,20094.19,FALSE,22.16111111,0.687640176,7.838
1,A,1,05/11/2018,34238.88,FALSE,14.85555556,0.710358984,7.838
1,A,1,03/12/2018,22517.56,FALSE,9.594444444,0.715378255,7.838
1,A,1,07/01/2019,15984.24,FALSE,9.038888889,0.786176398,7.742
1,A,2,05/02/2018,50605.27,FALSE,5.727777778,0.679450839,8.106
1,A,2,05/03/2018,48397.98,FALSE,8.055555556,0.693451964,8.106
1,A,2,02/04/2018,47450.5,FALSE,16.81666667,0.718284149,7.808
1,A,2,07/05/2018,47903.01,FALSE,22.52777778,0.748928121,7.808
1,A,2,04/06/2018,48754.47,FALSE,27.05,0.714585738,7.808
1,A,2,02/07/2018,47077.72,FALSE,27.17222222,0.70507554,7.787
1,A,2,06/08/2018,50031.73,FALSE,30.64444444,0.693980309,7.787
1,C,2,03/09/2018,49015.05,FALSE,27.33888889,0.6807717,7.787
1,A,2,01/10/2018,45829.02,FALSE,22.16111111,0.687640176,7.838
1,A,2,05/11/2018,46381.43,FALSE,14.85555556,0.710358984,7.838
1,A,2,03/12/2018,44405.02,FALSE,9.594444444,0.715378255,7.838
1,A,2,07/01/2019,43202.29,FALSE,9.038888889,0.786176398,7.742
1,A,3,05/02/2018,13740.12,FALSE,5.727777778,0.679450839,8.106
1,C,3,05/03/2018,12275.58,FALSE,8.055555556,0.693451964,8.106
1,A,3,02/04/2018,11157.08,FALSE,16.81666667,0.718284149,7.808
1,A,3,07/05/2018,9372.8,FALSE,22.52777778,0.748928121,7.808
1,A,3,04/06/2018,8001.41,FALSE,27.05,0.714585738,7.808
1,A,3,02/07/2018,7857.88,FALSE,27.17222222,0.70507554,7.787
1,C,3,06/08/2018,26719.02,FALSE,30.64444444,0.693980309,7.787
1,A,3,03/09/2018,19081.8,FALSE,27.33888889,0.6807717,7.787
1,A,3,01/10/2018,9775.17,FALSE,22.16111111,0.687640176,7.838
1,A,3,05/11/2018,9825.22,FALSE,14.85555556,0.710358984,7.838
1,A,3,03/12/2018,10856.85,FALSE,9.594444444,0.715378255,7.838
1,A,3,07/01/2019,15808.15,FALSE,9.038888889,0.786176398,7.742
1,A,4,05/02/2018,39954.04,FALSE,5.727777778,0.679450839,8.106
1,A,4,05/03/2018,38086.19,FALSE,8.055555556,0.693451964,8.106
1,A,4,02/04/2018,37809.49,FALSE,16.81666667,0.718284149,7.808
1,A,4,07/05/2018,37168.34,FALSE,22.52777778,0.748928121,7.808
1,A,4,04/06/2018,40548.19,FALSE,27.05,0.714585738,7.808
1,A,4,02/07/2018,39773.71,FALSE,27.17222222,0.70507554,7.787
1,A,4,06/08/2018,40973.88,FALSE,30.64444444,0.693980309,7.787
1,A,4,03/09/2018,38321.88,FALSE,27.33888889,0.6807717,7.787
1,A,4,01/10/2018,34912.45,FALSE,22.16111111,0.687640176,7.838
1,A,4,05/11/2018,37980.55,FALSE,14.85555556,0.710358984,7.838
1,A,4,03/12/2018,37110.55,FALSE,9.594444444,0.715378255,7.838
1,A,4,07/01/2019,37947.8,FALSE,9.038888889,0.786176398,7.742
1,A,5,05/02/2018,32229.38,FALSE,5.727777778,0.679450839,8.106
1,A,5,05/03/2018,23082.14,FALSE,8.055555556,0.693451964,8.106
1,A,5,02/04/2018,29967.92,FALSE,16.81666667,0.718284149,7.808
1,A,5,07/05/2018,19260.44,FALSE,22.52777778,0.748928121,7.808
1,A,5,04/06/2018,22932.26,FALSE,27.05,0.714585738,7.808
1,C,5,02/07/2018,18887.71,FALSE,27.17222222,0.70507554,7.787
1,A,5,06/08/2018,16926.17,FALSE,30.64444444,0.693980309,7.787
1,A,5,03/09/2018,15390.52,FALSE,27.33888889,0.6807717,7.787
1,A,5,01/10/2018,23381.38,FALSE,22.16111111,0.687640176,7.838
1,A,5,05/11/2018,23903.81,FALSE,14.85555556,0.710358984,7.838
1,A,5,03/12/2018,36472.02,FALSE,9.594444444,0.715378255,7.838
1,A,5,07/01/2019,22699.69,FALSE,9.038888889,0.786176398,7.742
1,A,6,05/02/2018,5749.03,FALSE,5.727777778,0.679450839,8.106
1,A,6,05/03/2018,4221.25,FALSE,8.055555556,0.693451964,8.106
1,A,6,02/04/2018,4132.61,FALSE,16.81666667,0.718284149,7.808
1,A,6,07/05/2018,7477.7,FALSE,22.52777778,0.748928121,7.808
1,A,6,04/06/2018,5484.9,FALSE,27.05,0.714585738,7.808
1,A,6,02/07/2018,4541.91,FALSE,27.17222222,0.70507554,7.787
1,A,6,06/08/2018,4700.38,FALSE,30.64444444,0.693980309,7.787
1,A,6,03/09/2018,3553.75,FALSE,27.33888889,0.6807717,7.787
1,A,6,01/10/2018,2876.19,FALSE,22.16111111,0.687640176,7.838
1,A,6,05/11/2018,5036.99,FALSE,14.85555556,0.710358984,7.838
1,A,6,03/12/2018,6356.96,FALSE,9.594444444,0.715378255,7.838
1,A,6,07/01/2019,1376.15,FALSE,9.038888889,0.786176398,7.742
1,A,7,05/02/2018,21084.08,FALSE,5.727777778,0.679450839,8.106
1,A,7,05/03/2018,19659.7,FALSE,8.055555556,0.693451964,8.106
1,A,7,02/04/2018,22427.62,FALSE,16.81666667,0.718284149,7.808
1,A,7,07/05/2018,20457.62,FALSE,22.52777778,0.748928121,7.808
1,A,7,04/06/2018,44563.68,FALSE,27.05,0.714585738,7.808
1,A,7,02/07/2018,22589,FALSE,27.17222222,0.70507554,7.787
1,A,7,06/08/2018,21842.57,FALSE,30.64444444,0.693980309,7.787
1,A,7,03/09/2018,18005.65,FALSE,27.33888889,0.6807717,7.787
1,A,7,01/10/2018,16481.79,FALSE,22.16111111,0.687640176,7.838
1,A,7,05/11/2018,19136.58,FALSE,14.85555556,0.710358984,7.838
1,A,7,03/12/2018,47406.83,FALSE,9.594444444,0.715378255,7.838
1,A,7,07/01/2019,17516.16,FALSE,9.038888889,0.786176398,7.742
1,A,8,05/02/2018,40129.01,FALSE,5.727777778,0.679450839,8.106
1,C,8,05/03/2018,38776.09,FALSE,8.055555556,0.693451964,8.106
1,A,8,02/04/2018,38151.58,FALSE,16.81666667,0.718284149,7.808
